날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1980-12-03,108,-1.6,-7.2,2.6
1980-12-04,108,-7.1,-9.9,-3.7
1980-12-05,108,-3.3,-8.5,1.6
1980-12-08,108,-0.9,-2.9,1.4
1980-12-09,108,-2.8,-5.5,0.2
1980-12-12,108,-7.8,-13.3,-1
1980-12-13,108,-10.5,-14.5,-6
1980-12-14,108,-6.6,-10,-3.1
1980-12-15,108,-6.7,-10.4,-1.2
1980-12-16,108,-4.4,-8.8,0.5
1980-12-17,108,-2.1,-6.7,3.2
1980-12-18,108,-1,-3.3,2.9
1980-12-19,108,-3.5,-5.8,-0.4
1980-12-20,108,-5.7,-8,-2.7
1980-12-21,108,-5.4,-10.1,0.4
1980-12-22,108,-2.1,-6.5,2.1
1980-12-23,108,-1.3,-5,0.5
1980-12-24,108,-2.6,-6.1,2.4
1980-12-25,108,-1.1,-4,2.2
1980-12-26,108,-8.3,-10.7,-4
1980-12-27,108,-10.4,-12.5,-7.2
1980-12-28,108,-12.1,-13.7,-8.4
1980-12-29,108,-12.9,-16.2,-8.7
1980-12-30,108,-9.8,-14.5,-4.2
1980-12-31,108,-6.3,-11.4,-1.2
1981-01-01,108,-3.3,-6.3,-0.2
1981-01-02,108,-9.6,-12.5,-6.3
1981-01-03,108,-12.2,-14.7,-8.8
1981-01-04,108,-12.1,-16.5,-7.1
1981-01-05,108,-11.7,-14.9,-8.2
1981-01-06,108,-10,-15.3,-4.8
1981-01-07,108,-7.1,-12.5,-0.5
1981-01-08,108,-4.7,-9.8,-0.8
1981-01-09,108,-3.4,-6.9,0.8
1981-01-10,108,-7,-10.2,-4.2
1981-01-11,108,-7.6,-11.6,-3.4
1981-01-12,108,-6,-9,-1.6
1981-01-13,108,-9.1,-11.7,-5.5
1981-01-14,108,-8.6,-13.4,-4.2
1981-01-15,108,-5.6,-8.2,-2.7
1981-01-16,108,-5.9,-8.6,-2.2
1981-01-17,108,-7.2,-12,-1.5
1981-01-18,108,-4.1,-8.2,0.6
1981-01-19,108,-5.2,-7.8,-1.6
1981-01-20,108,-7.1,-11,-2.3
1981-01-21,108,-7.5,-11.3,-2.6
1981-01-22,108,-8.4,-12.2,-3.7
1981-01-23,108,-6.5,-11.2,-1.5
1981-01-24,108,-4.1,-5.8,-0.7
1981-01-25,108,-7.1,-10,-3.3
1981-01-26,108,-9.2,-12.7,-5
1981-01-27,108,-8.3,-12.9,-2.7
1981-01-28,108,-5.5,-9.9,0.4
1981-01-29,108,-4.4,-7.9,0.6
1981-01-30,108,-5.2,-9.1,-0.3
1981-01-31,108,-4.3,-9.2,1.3
1981-02-01,108,-2.4,-7.3,2.5
1981-02-02,108,-3.7,-9.5,2.1
1981-02-03,108,-5.3,-7.6,-1.8
1981-02-04,108,-6.2,-9.8,-1.4
1981-02-05,108,-4.3,-9,1.4
1981-02-06,108,-2,-6.6,3
1981-02-07,108,-1.8,-4.4,0.8
1981-02-08,108,-0.8,-3.2,0.6
1981-02-09,108,-0.7,-4,3
1981-02-10,108,-0.3,-3.2,3.6
1981-02-11,108,-1.2,-5.9,4.6
1981-02-19,108,-1,-4.6,3.8
1981-02-20,108,-1.5,-4.1,0.4
1981-02-21,108,-2.7,-6.2,1.9
1981-02-24,108,-1.7,-6.2,2.9
1981-02-25,108,-9,-13.2,-6
1981-02-26,108,-12.2,-15.6,-7.9
1981-02-27,108,-9.2,-13.7,-2.7
1981-02-28,108,-3.3,-7.6,1.8
1981-03-06,108,-1,-5.1,3.2
1981-11-07,108,-1.6,-4.5,1
1981-11-08,108,-3,-7,1.8
1981-11-09,108,-1,-6,3.8
1981-11-28,108,-2.5,-5.9,1.8
1981-11-29,108,-1,-3.9,2.8
1981-12-01,108,-5.5,-9.4,0.4
1981-12-02,108,-6.5,-11,-2.2
1981-12-03,108,-1.8,-8.5,4.3
1981-12-06,108,-0.7,-5,3.4
1981-12-13,108,-2.1,-4.8,1.2
1981-12-14,108,-4.8,-7.2,-1.3
1981-12-15,108,-5.3,-8.6,-1
1981-12-16,108,-2.1,-6.1,3
1981-12-17,108,-1,-5.7,4.2
1981-12-18,108,-0.3,-4.2,4.5
1981-12-19,108,-1.1,-2.5,-0.3
1981-12-20,108,-0.7,-4.4,2.8
1981-12-21,108,-0.4,-5.6,4.4
1981-12-24,108,-0.9,-5,4
1981-12-30,108,-3.3,-6.3,-0.6
1981-12-31,108,-1.4,-4.9,1.2
1982-01-01,108,-2.8,-5.3,0.2
1982-01-02,108,-1,-4.1,3.4
1982-01-05,108,-0.8,-3.6,2.6
1982-01-06,108,-1.5,-5.2,3.1
1982-01-07,108,-3.9,-7.2,0.1
1982-01-08,108,-1.6,-4.6,1.1
1982-01-10,108,-0.8,-5.6,4.9
1982-01-12,108,-9.4,-12.5,-2.3
1982-01-13,108,-10.1,-12.6,-5.8
1982-01-14,108,-9.5,-13.8,-4.5
1982-01-15,108,-6.6,-9.5,-2.6
1982-01-16,108,-7.6,-10.2,-3.6
1982-01-17,108,-6.4,-11,-1.4
1982-01-18,108,-5.6,-9.1,-2.4
1982-01-19,108,-8.8,-11.8,-5
1982-01-20,108,-5.8,-11.3,0.5
1982-01-21,108,-0.1,-5.2,6.6
1982-01-23,108,-0.6,-3.8,3.3
1982-01-25,108,-0.8,-4.6,4.8
1982-01-26,108,-0.4,-3.4,4.5
1982-01-27,108,-4.9,-8.3,-2.2
1982-01-28,108,-10.3,-12.8,-7
1982-01-29,108,-10.1,-14.1,-4.8
1982-01-30,108,-7.2,-12.2,-1.1
1982-01-31,108,-4.3,-8.2,-0.5
1982-02-01,108,-3.4,-6.4,-0.2
1982-02-02,108,-4.3,-8.9,2
1982-02-03,108,-0.4,-3.2,3.6
1982-02-05,108,-5,-8,-0.9
1982-02-06,108,-5.9,-9.4,-2.8
1982-02-07,108,-8.4,-11.8,-3.8
1982-02-08,108,-6.1,-10.9,-0.3
1982-02-09,108,-1.9,-5.2,4.2
1982-02-10,108,-3.4,-7.7,1.3
1982-02-11,108,-2.7,-7.8,2.3
1982-02-15,108,-0.2,-4.5,5.6
1982-03-06,108,-1.1,-3.8,2.8
1982-03-07,108,-1.6,-5.3,2.8
1982-11-24,108,-1.8,-5.8,3.8
1982-11-25,108,-2.6,-7.1,2.7
1982-12-05,108,-3.8,-7.7,3.8
1982-12-06,108,-6,-9.8,-1.9
1982-12-07,108,-1.8,-6.7,3.5
1982-12-12,108,-6.1,-8.4,-3.9
1982-12-13,108,-5.5,-8,-2
1982-12-14,108,-4.2,-9,0.9
1982-12-15,108,-1.3,-5.6,3.4
1982-12-17,108,-4,-7.3,0.4
1982-12-18,108,-6,-9.5,-1.9
1982-12-19,108,-2.1,-7.2,3.2
1982-12-25,108,-2.7,-5.4,0.4
1982-12-26,108,-0.6,-4,3.3
1982-12-31,108,-1.4,-5,2.8
1983-01-01,108,-0.1,-4.7,5.9
1983-01-03,108,-0.3,-4.2,5
1983-01-08,108,-7.6,-11.8,-2.5
1983-01-09,108,-10,-13.9,-5.4
1983-01-10,108,-9.2,-12.4,-5.7
1983-01-11,108,-7.5,-12.1,-3.8
1983-01-12,108,-4.7,-8.2,-1.8
1983-01-13,108,-2.9,-5.9,0.5
1983-01-14,108,-2.2,-7.5,3.4
1983-01-15,108,-1.9,-5.8,2.2
1983-01-18,108,-0.6,-4.2,3.4
1983-01-19,108,-5.7,-8.9,-2.7
1983-01-20,108,-8.6,-11.9,-5
1983-01-21,108,-8.8,-12,-4.8
1983-01-22,108,-8.5,-12.7,-4.2
1983-01-23,108,-3.5,-8.8,1.7
1983-02-07,108,-1.2,-3.8,1.4
1983-02-08,108,-1.9,-4.6,0.5
1983-02-09,108,-3.5,-7.2,0.3
1983-02-10,108,-3.9,-8.1,0.3
1983-02-11,108,-5.8,-9.2,-2.2
1983-02-12,108,-9.5,-13.3,-6.2
1983-02-13,108,-8,-12.5,-2.9
1983-02-14,108,-3.6,-8.2,1.2
1983-02-18,108,-8.2,-10.2,-4.4
1983-02-19,108,-8.2,-12.4,-3.3
1983-02-20,108,-8.1,-11.3,-4.8
1983-02-21,108,-6,-11.2,-0.7
1983-02-22,108,-2.4,-7.9,3.3
1983-02-25,108,-0.3,-4.6,5
1983-11-17,108,-3.5,-6,-1.8
1983-11-26,108,-1.6,-4.2,1.6
1983-12-14,108,-1,-3.9,1.9
1983-12-15,108,-2.4,-5.7,2.2
1983-12-16,108,-3.7,-7.6,0.1
1983-12-17,108,-5.1,-7.1,-2.5
1983-12-18,108,-4.6,-9.6,1.4
1983-12-19,108,-1.2,-4.5,2.9
1983-12-20,108,-1.3,-6.4,5
1983-12-21,108,-0.5,-5.6,4
1983-12-22,108,-0.4,-7.3,1.8
1983-12-23,108,-7.5,-11,-4
1983-12-24,108,-7.7,-11.3,-5.7
1983-12-25,108,-9.4,-13.5,-5.1
1983-12-26,108,-5.8,-10.4,-1
1983-12-27,108,-6.5,-9.5,-2.8
1983-12-28,108,-7,-9.6,-3.7
1983-12-29,108,-8.1,-11.2,-4.4
1983-12-30,108,-6.3,-8.5,-4.3
1983-12-31,108,-6.2,-10.1,-2.1
1984-01-01,108,-4.8,-9.7,-0.2
1984-01-02,108,-0.8,-2.5,0.1
1984-01-03,108,-2.1,-6.5,0.1
1984-01-04,108,-7.4,-9.3,-5.2
1984-01-05,108,-8.7,-12,-4.7
1984-01-06,108,-7.4,-12.1,-2.3
1984-01-07,108,-5.1,-9.3,-1.6
1984-01-08,108,-4.8,-8.2,-0.7
1984-01-09,108,-1.5,-7.5,4.1
1984-01-10,108,-0.1,-3.8,3.3
1984-01-11,108,-3.4,-6.9,-0.2
1984-01-12,108,-4.1,-7.9,-1.4
1984-01-13,108,-3,-6.1,0.9
1984-01-14,108,-1.7,-6.2,2.9
1984-01-15,108,-6,-10.2,0.3
1984-01-16,108,-10,-13.3,-5.6
1984-01-17,108,-9.7,-12.9,-5.2
1984-01-18,108,-8.3,-11.4,-5
1984-01-19,108,-6.9,-10.3,-2.3
1984-01-20,108,-7.5,-11.2,-3.1
1984-01-21,108,-4.8,-9.3,0.9
1984-01-22,108,-8.1,-11.8,-4.1
1984-01-23,108,-6.5,-10.7,-0.6
1984-01-24,108,-6,-8.5,-2.2
1984-01-25,108,-8.7,-11.4,-5.3
1984-01-26,108,-10.1,-13.6,-5.9
1984-01-27,108,-10.1,-13.6,-5.9
1984-01-28,108,-9.2,-12.6,-5.3
1984-01-29,108,-8.2,-12.4,-3
1984-01-30,108,-4.4,-7.7,-0.8
1984-01-31,108,-2.4,-5.6,3.8
1984-02-01,108,-3.4,-6.5,1.9
1984-02-02,108,-11.2,-14.2,-5.7
1984-02-03,108,-10.2,-15,-3.4
1984-02-04,108,-5.6,-9.9,-0.2
1984-02-05,108,-5.3,-10.4,-1.2
1984-02-06,108,-12.1,-15.1,-8.4
1984-02-07,108,-11,-14,-6.3
1984-02-08,108,-9.3,-13.4,-3.5
1984-02-09,108,-8.2,-12.7,-3.2
1984-02-10,108,-5.8,-11.2,-0.1
1984-02-11,108,-2.2,-7.3,5
1984-02-12,108,-0.7,-5.4,5.1
1984-02-13,108,-1.6,-4.9,2.8
1984-02-14,108,-2.8,-5.7,2
1984-02-15,108,-3.6,-6.5,1.4
1984-02-16,108,-4.2,-8.2,0.3
1984-02-17,108,-1.9,-4.6,2
1984-02-18,108,-2,-6.2,4.3
1984-02-19,108,-1.5,-6.1,3.7
1984-02-20,108,-0.3,-5,6.6
1984-02-26,108,-0.3,-5.1,2.6
1984-02-27,108,-4.4,-6.6,-0.9
1984-02-28,108,-4.3,-8.1,-0.1
1984-02-29,108,-4.4,-8.1,0.6
1984-03-01,108,-0.5,-3.9,4.6
1984-03-02,108,-0.6,-3.9,3.3
1984-03-03,108,-2.3,-5.4,1.7
1984-03-04,108,-2.5,-6.5,3
1984-03-05,108,-0.8,-4.6,4
1984-03-06,108,-0.3,-4.9,5.3
1984-03-10,108,-1,-3.8,3
1984-11-27,108,-1.1,-4,2.7
1984-11-28,108,-0.7,-5.7,4.2
1984-12-05,108,-1.7,-3.4,1.5
1984-12-06,108,-1.8,-6.2,4.1
1984-12-07,108,-0.1,-4.9,6.6
1984-12-18,108,-3.2,-5.5,0.5
1984-12-19,108,-3.4,-7.6,1.6
1984-12-20,108,-0.6,-2.7,3.3
1984-12-21,108,-3.1,-8.2,-0.1
1984-12-22,108,-8.3,-10.8,-3.5
1984-12-23,108,-9.3,-11.6,-5.6
1984-12-24,108,-9.9,-11.7,-7
1984-12-25,108,-8,-12.6,-3.3
1984-12-26,108,-5.1,-7.9,-0.6
1984-12-27,108,-6.3,-8.4,-2.3
1984-12-28,108,-8.4,-10.4,-5
1984-12-29,108,-9,-12.8,-4.8
1984-12-30,108,-5.7,-10.3,0.3
1984-12-31,108,-2.3,-4.5,1.4
1985-01-01,108,-2.9,-6.9,3
1985-01-02,108,-1.5,-5,3.4
1985-01-03,108,-0.6,-3.6,3.5
1985-01-04,108,-4.9,-7.6,-0.6
1985-01-05,108,-5.6,-9.4,-1
1985-01-06,108,-5,-9.6,-0.5
1985-01-07,108,-7.8,-11,-3
1985-01-08,108,-6.6,-11.3,-1.2
1985-01-09,108,-3.4,-8.3,2
1985-01-10,108,-6.2,-9.2,-2.4
1985-01-11,108,-4.9,-9.4,-0.6
1985-01-12,108,-4.6,-9.6,-0.8
1985-01-13,108,-10.9,-14.1,-7.5
1985-01-14,108,-12.4,-16.7,-7.6
1985-01-15,108,-7.7,-12.1,3
1985-01-16,108,-11.3,-14.3,-7.5
1985-01-17,108,-9.4,-14.3,-2.6
1985-01-18,108,-4.3,-10.2,2.8
1985-01-19,108,-1.2,-2.6,0.7
1985-01-20,108,-4.8,-7.4,-1.2
1985-01-21,108,-5.4,-10.2,-0.5
1985-01-22,108,-0.8,-3.6,2
1985-01-23,108,-5,-7.4,-1.3
1985-01-24,108,-5.6,-8.1,-1
1985-01-25,108,-5.3,-11,0
1985-01-26,108,-1.6,-6.7,2.9
1985-01-27,108,-2.2,-8.8,1.8
1985-01-28,108,-10,-12.4,-7
1985-01-29,108,-12,-14.8,-9.7
1985-01-30,108,-13,-16.3,-8.3
1985-01-31,108,-5,-11.1,1.8
1985-02-04,108,-0.1,-3.3,3.5
1985-02-13,108,-2.7,-6.3,0.8
1985-02-14,108,-3.7,-8.4,1.9
1985-02-17,108,-1.3,-6.8,5.3
1985-02-20,108,-4.3,-8.8,-0.2
1985-02-21,108,-8.1,-10.6,-4.7
1985-02-22,108,-7.8,-10.8,-3.5
1985-02-23,108,-8.2,-10.9,-4.1
1985-02-24,108,-6.7,-11,-1.6
1985-02-25,108,-3.9,-9.2,1
1985-02-26,108,-1.8,-5.4,2.9
1985-03-05,108,-1.1,-3.8,2.8
1985-03-06,108,-2,-5.5,1.9
1985-03-09,108,-1.4,-7.2,1.9
1985-03-10,108,-2.4,-8.2,4.1
1985-11-29,108,-1.8,-4.6,1
1985-11-30,108,-1.7,-3.1,0.2
1985-12-01,108,-1.3,-4.3,2.4
1985-12-02,108,-1.6,-4.4,1.1
1985-12-06,108,-2.7,-4.2,-0.3
1985-12-07,108,-2.3,-4.7,0.7
1985-12-08,108,-6,-9.3,-3.3
1985-12-09,108,-9.3,-12,-6.1
1985-12-10,108,-10.6,-13.6,-7.2
1985-12-11,108,-7.4,-10.3,-3.9
1985-12-12,108,-6,-10.5,-1.9
1985-12-13,108,-2.1,-5.3,2.2
1985-12-14,108,-6.6,-10.1,-2.6
1985-12-15,108,-10.7,-12.9,-7.5
1985-12-16,108,-10.7,-13.4,-6.7
1985-12-17,108,-9.4,-12.9,-5
1985-12-18,108,-6,-10.2,-1.8
1985-12-19,108,-4.3,-7.4,-1.1
1985-12-20,108,-5.2,-8.8,-1.1
1985-12-21,108,-2.5,-8.4,2
1985-12-23,108,-3.7,-7.4,-0.2
1985-12-24,108,-4.3,-9.5,0.4
1985-12-25,108,-0.3,-4.4,4.4
1985-12-26,108,-2.7,-7.2,2
1985-12-31,108,-3.7,-7.2,-1.1
1986-01-01,108,-8.6,-12.2,-6.1
1986-01-02,108,-9.5,-13,-5.6
1986-01-03,108,-3.3,-7.1,0.2
1986-01-04,108,-12.1,-16.5,-3.2
1986-01-05,108,-16.4,-19.2,-13.6
1986-01-06,108,-11.6,-16.9,-5.9
1986-01-07,108,-4.6,-8.1,-1
1986-01-08,108,-8.8,-11.2,-4.4
1986-01-09,108,-10,-12.3,-6.8
1986-01-10,108,-11,-13.7,-7.4
1986-01-11,108,-10.7,-14.5,-6.5
1986-01-12,108,-8.1,-13.1,-3.2
1986-01-13,108,-5.7,-7.4,-3.5
1986-01-14,108,-4.4,-10.5,1
1986-01-15,108,-1.2,-3.3,2.6
1986-01-16,108,-1,-3.6,1.3
1986-01-21,108,-1.8,-7.2,0.4
1986-01-22,108,-6.5,-10.1,-2.9
1986-01-23,108,-3,-7.2,2.8
1986-01-24,108,-4.4,-7.1,-1.9
1986-01-25,108,-6.3,-10.1,-3.8
1986-01-26,108,-9,-11.7,-5.4
1986-01-27,108,-7.4,-11.5,-3.3
1986-01-28,108,-0.8,-4.4,3.9
1986-01-29,108,-0.9,-5.9,5.2
1986-01-31,108,-5.1,-7.4,-1.8
1986-02-01,108,-6.2,-9.5,-2.3
1986-02-02,108,-5.2,-8,0.1
1986-02-03,108,-9.3,-12.5,-5.8
1986-02-04,108,-8.2,-12.7,-3.8
1986-02-05,108,-7.3,-10.5,-4.4
1986-02-06,108,-8.4,-12,-4
1986-02-07,108,-7.5,-11.5,-3.5
1986-02-08,108,-5.9,-10.3,-1.1
1986-02-09,108,-4.6,-8,-0.9
1986-02-10,108,-4.8,-9.1,-0.6
1986-02-11,108,-3.4,-7.8,1.7
1986-02-12,108,-1.1,-7,4.6
1986-02-16,108,-1.2,-6.2,5.2
1986-02-19,108,-0.1,-2.4,3.1
1986-02-20,108,-1.2,-3.1,2.1
1986-02-21,108,-1.2,-4.9,3.4
1986-02-22,108,-0.4,-3.8,4.4
1986-02-23,108,-2.2,-4.7,0.7
1986-02-24,108,-3.2,-7.3,1.2
1986-02-25,108,-1.5,-5.9,4
1986-02-26,108,-3.7,-8.9,-0.8
1986-02-27,108,-7.2,-9.2,-4.7
1986-02-28,108,-3.6,-8.1,1.2
1986-03-01,108,-2.4,-5,1.4
1986-03-02,108,-0.9,-5.4,3.9
1986-11-26,108,-2.6,-5.7,0.3
1986-11-27,108,-1.7,-5.6,2.9
1986-11-29,108,-2.2,-4.6,0.6
1986-12-22,108,-3.2,-6.6,0.4
1986-12-23,108,-0.3,-4.2,3.7
1986-12-25,108,-0.8,-7.5,3.3
1986-12-26,108,-6.4,-9.7,-2.8
1986-12-27,108,-4.8,-6.4,-3
1986-12-28,108,-5.2,-7.8,-2.5
1986-12-29,108,-4,-7.8,-0.8
1987-01-01,108,-4.2,-8.5,-0.2
1987-01-03,108,-2.6,-7.6,0.4
1987-01-04,108,-6.2,-9.6,-1.8
1987-01-05,108,-3.1,-6.5,0.8
1987-01-09,108,-3,-9.6,3.7
1987-01-10,108,-9.1,-11.3,-5.7
1987-01-11,108,-6.1,-10.6,-0.5
1987-01-12,108,-5.7,-11.3,-2.9
1987-01-13,108,-11.5,-14.3,-8.5
1987-01-14,108,-8.5,-15.1,-2.6
1987-01-17,108,-2.9,-5.3,1.7
1987-01-18,108,-4.5,-8.2,-0.8
1987-01-19,108,-4.7,-8.6,-0.7
1987-01-20,108,-3.8,-7.4,0.5
1987-01-21,108,-1.9,-6.7,4
1987-01-24,108,-7.1,-9.2,-4.2
1987-01-25,108,-7.6,-10.6,-3.6
1987-01-26,108,-4.6,-9.4,0.4
1987-01-30,108,-5,-8.4,-2.1
1987-01-31,108,-7.2,-10.4,-3.4
1987-02-01,108,-5.8,-10.6,-0.9
1987-02-02,108,-4.8,-8,-3.2
1987-02-03,108,-5.6,-9.2,-0.2
1987-02-04,108,-5.1,-9.2,-1
1987-02-05,108,-1.4,-7,4.1
1987-02-14,108,-2.3,-6.4,2.5
1987-02-15,108,-4.7,-8.7,0.1
1987-02-16,108,-2.5,-7,1.9
1987-02-21,108,-0.3,-2.8,3.6
1987-02-24,108,-0.8,-6.1,3.6
1987-02-25,108,-5.3,-8.3,-1.3
1987-02-26,108,-5.1,-8,-1
1987-02-27,108,-5.7,-9.1,-2.7
1987-02-28,108,-1.9,-6.4,3.4
1987-03-01,108,-2.4,-6,0.6
1987-03-02,108,-2,-5.7,2.2
1987-03-25,108,-2.6,-7.6,0.9
1987-11-28,108,-0.8,-6.9,4.2
1987-11-29,108,-5.9,-9.2,-2.4
1987-11-30,108,-5,-8.5,-0.9
1987-12-01,108,-6.9,-8.9,-5
1987-12-02,108,-5.8,-10.1,-1.5
1987-12-03,108,-2.8,-5.3,-0.3
1987-12-04,108,-2.8,-7,1
1987-12-05,108,-0.2,-2.4,4.2
1987-12-06,108,-0.4,-4.6,5.1
1987-12-11,108,-4,-6.4,-0.9
1987-12-12,108,-3.2,-7.5,1.8
1987-12-13,108,-2.3,-5.4,1.7
1987-12-14,108,-0.2,-5.7,4.9
1987-12-30,108,-5.6,-8.6,0
1987-12-31,108,-5.8,-10.6,0
1988-01-01,108,-2.4,-4.4,-0.8
1988-01-02,108,-1.6,-4.3,1.6
1988-01-03,108,-2.7,-6.2,1.3
1988-01-04,108,-0.4,-3.2,3.2
1988-01-05,108,-2.9,-6.7,1.9
1988-01-06,108,-2.7,-6.9,2.6
1988-01-07,108,-0.5,-2.4,1
1988-01-09,108,-7.3,-9.8,-2.9
1988-01-10,108,-7.9,-11.4,-3.2
1988-01-11,108,-4.8,-9.4,0.6
1988-01-12,108,-0.9,-5.3,4.1
1988-01-16,108,-2.6,-6,0
1988-01-17,108,-3.2,-7.8,1.7
1988-01-18,108,-2.2,-5.2,1.7
1988-01-19,108,-1.3,-5,2.8
1988-01-23,108,-8.9,-10.5,-4.6
1988-01-24,108,-8.7,-12.1,-4.2
1988-01-25,108,-5.6,-10.2,-1.8
1988-01-26,108,-4.3,-7.7,-0.5
1988-01-27,108,-2.7,-7.8,5.1
1988-01-28,108,-1.5,-7.6,3.8
1988-01-29,108,-2.1,-6.9,4.3
1988-01-30,108,-5,-8.7,-0.7
1988-01-31,108,-4,-7.6,-0.1
1988-02-01,108,-1.3,-5.1,3.4
1988-02-02,108,-6.8,-10.5,1.6
1988-02-03,108,-8.6,-12.9,-3.9
1988-02-04,108,-3.9,-6.8,1.3
1988-02-06,108,-6.8,-9.7,-2.6
1988-02-07,108,-8.4,-11.3,-4.1
1988-02-08,108,-6.3,-10.8,-0.9
1988-02-09,108,-5.3,-8.6,-0.3
1988-02-10,108,-5.9,-9.8,-1.3
1988-02-11,108,-3.7,-7.7,0.5
1988-02-12,108,-1.5,-5,2.2
1988-02-14,108,-1.1,-5.4,2.9
1988-02-15,108,-5.4,-8.5,-1.5
1988-02-16,108,-6.4,-10,-2.8
1988-02-17,108,-5.5,-9.2,-1.2
1988-02-18,108,-4.9,-8.8,-0.7
1988-02-19,108,-1.3,-7.1,4.4
1988-03-02,108,-1,-6,1.6
1988-03-03,108,-3,-6.6,1.2
1988-03-04,108,-2.2,-6.3,1.4
1988-03-06,108,-0.1,-3.4,2.5
