날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1988-03-07,108,-3.4,-6.8,0.1
1988-03-08,108,-1.1,-3.5,1.6
1988-11-24,108,-1.3,-2.5,1
1988-11-25,108,-2.2,-3.7,1
1988-11-26,108,-2.7,-5.6,0.9
1988-11-27,108,-1.5,-4.9,2.9
1988-12-05,108,-2.6,-5.4,1
1988-12-09,108,-1.5,-3.4,1.4
1988-12-10,108,-2,-4.1,1.2
1988-12-14,108,-2.8,-7,2.8
1988-12-15,108,-8.5,-10.7,-5.3
1988-12-16,108,-8.5,-12.2,-3.7
1988-12-17,108,-3.5,-8.5,1.5
1988-12-21,108,-1.1,-4.1,2.5
1988-12-22,108,-1.6,-5.8,3.7
1988-12-23,108,-0.3,-5.6,4.2
1988-12-25,108,-4,-7.1,0
1988-12-26,108,-3.8,-7.9,1.4
1988-12-27,108,-1.7,-4.4,2.2
1988-12-28,108,-3,-6.9,1.2
1988-12-29,108,-0.7,-3,2.7
1988-12-30,108,-0.8,-5,4.7
1988-12-31,108,-0.7,-3.3,2.1
1989-01-01,108,-0.6,-3.4,3.5
1989-01-02,108,-0.5,-4,2.9
1989-01-04,108,-2.9,-7.2,1.5
1989-01-05,108,-1.3,-7.6,6.3
1989-01-13,108,-1.2,-5.3,1.1
1989-01-14,108,-4.1,-7.9,0.2
1989-01-15,108,-2.8,-6.2,0.6
1989-01-27,108,-7.7,-9.5,-4.8
1989-01-28,108,-6.9,-11.2,-1.3
1989-01-29,108,-4.5,-9.2,0.5
1989-01-30,108,-3.1,-7.1,1.1
1989-01-31,108,-0.5,-4.4,2.9
1989-02-01,108,-2.7,-6,1.4
1989-02-02,108,-5.2,-7.8,-1.4
1989-02-03,108,-3.6,-8.2,1.4
1989-02-04,108,-1.1,-6.4,4.8
1989-02-10,108,-1.1,-4.4,3.2
1989-02-11,108,-0.9,-5.4,4.2
1989-03-06,108,-1,-3.3,2.3
1989-03-07,108,-1.6,-3.5,1.6
1989-03-08,108,-0.5,-5,3.8
1989-11-19,108,-0.3,-4.5,4.8
1989-11-28,108,-0.4,-2.9,2.4
1989-11-29,108,-3.5,-6.3,0.1
1989-11-30,108,-2.6,-5.9,1.6
1989-12-08,108,-2.2,-5.4,2
1989-12-14,108,-1,-3.2,1.1
1989-12-23,108,-0.3,-3.1,2.9
1989-12-26,108,-3.4,-5.6,2.5
1989-12-27,108,-5.3,-8.5,-2.2
1989-12-28,108,-3,-6.2,-0.4
1989-12-29,108,-0.6,-5.5,2.1
1989-12-30,108,-4.8,-7,-1.4
1989-12-31,108,-4.3,-8.7,0.1
1990-01-01,108,-1.7,-4,1.8
1990-01-02,108,-3.5,-5.7,-0.9
1990-01-03,108,-5,-7.2,-1.7
1990-01-04,108,-3.3,-8.9,2.1
1990-01-06,108,-3.2,-5.6,0.2
1990-01-07,108,-3.3,-7.8,2.5
1990-01-08,108,-0.2,-4.6,4.2
1990-01-13,108,-4.5,-7.2,-1.7
1990-01-14,108,-3,-6.3,1.3
1990-01-15,108,-3.3,-5,-1.9
1990-01-16,108,-3.4,-7.9,1.4
1990-01-19,108,-5.6,-9.3,-2.4
1990-01-20,108,-7.6,-11.2,-3.6
1990-01-21,108,-4.5,-8.6,-0.8
1990-01-22,108,-9.2,-13.6,-1.3
1990-01-23,108,-11.5,-15.4,-7
1990-01-24,108,-13,-16.4,-10.5
1990-01-25,108,-14,-17.1,-10.6
1990-01-26,108,-11.4,-16.9,-5.4
1990-01-27,108,-6.6,-11.5,-2
1990-01-28,108,-0.8,-4.6,2.3
1990-01-31,108,-1.1,-2.1,0.1
1990-02-01,108,-1.5,-2.6,0.2
1990-02-02,108,-1.7,-3.4,0.3
1990-02-03,108,-2,-4.8,1.2
1990-02-05,108,-0.5,-2.2,1.8
1990-02-06,108,-0.9,-3.4,2.7
1990-02-07,108,-0.8,-3.9,2.7
1990-02-13,108,-0.2,-5.2,4.7
1990-02-26,108,-0.3,-4.5,5.2
1990-11-10,108,-1.5,-4.1,1.3
1990-11-21,108,-0.6,-4.9,2.9
1990-12-02,108,-3.8,-5.6,-1.8
1990-12-03,108,-2.3,-6.8,2.3
1990-12-12,108,-0.3,-4.1,3.6
1990-12-15,108,-2.6,-6,0.9
1990-12-16,108,-0.1,-3.5,3.5
1990-12-17,108,-0.4,-3.3,1.9
1990-12-19,108,-1,-5.1,4.1
1990-12-23,108,-3.5,-6.4,-0.8
1990-12-24,108,-3.7,-8.4,1.4
1990-12-25,108,-1.2,-5.8,2.6
1990-12-26,108,-9.2,-11.8,-5.8
1990-12-27,108,-9,-12.9,-4.8
1990-12-28,108,-5.6,-9.8,-1.2
1990-12-29,108,-4.3,-8,0.4
1990-12-30,108,-2.3,-7.7,3.7
1991-01-02,108,-6.1,-7.9,-3.4
1991-01-03,108,-6.2,-9.7,-0.4
1991-01-04,108,-8.5,-10.8,-5.3
1991-01-05,108,-10.1,-12.8,-7
1991-01-06,108,-8,-12.9,-2.6
1991-01-07,108,-4.3,-7.4,-0.7
1991-01-08,108,-7.3,-11.1,-3.9
1991-01-09,108,-5.5,-10.6,-0.2
1991-01-10,108,-1.4,-4.1,1.7
1991-01-11,108,-3.2,-6.3,0.2
1991-01-12,108,-3.8,-6.8,0.3
1991-01-13,108,-6,-9.2,-2.7
1991-01-14,108,-6,-8.8,-2.3
1991-01-15,108,-3.1,-7.2,2.2
1991-01-17,108,-2.5,-5.3,3.3
1991-01-18,108,-3,-7.4,2.6
1991-01-19,108,-0.4,-5.5,6.4
1991-01-25,108,-1.4,-3.8,0.3
1991-01-26,108,-2.7,-6.8,1.7
1991-01-27,108,-2.7,-6.9,1.4
1991-01-28,108,-1.4,-6.3,4.8
1991-01-30,108,-0.4,-4.2,3.9
1991-01-31,108,-1.1,-4.7,3.6
1991-02-01,108,-2,-4.3,1.1
1991-02-02,108,-2.4,-6.6,2.5
1991-02-03,108,-0.9,-5.2,3.6
1991-02-04,108,-0.3,-4.3,1.1
1991-02-05,108,-2.9,-6.7,1.6
1991-02-08,108,-0.6,-4,4.1
1991-02-19,108,-4.5,-7.6,-1
1991-02-20,108,-4.9,-9.2,-0.8
1991-02-21,108,-7.1,-10.1,-3.5
1991-02-22,108,-9.9,-12.4,-8.4
1991-02-23,108,-11.1,-15,-6.8
1991-02-24,108,-8,-13,-2.8
1991-02-25,108,-3.5,-9.3,2.4
1991-03-01,108,-0.9,-6,5.2
1991-12-09,108,-1,-3.8,1.8
1991-12-10,108,-0.7,-3.7,2
1991-12-11,108,-1.8,-8.4,1.1
1991-12-12,108,-7.9,-11,-4.7
1991-12-13,108,-1.9,-8.2,2.9
1991-12-28,108,-5.7,-9,-2.2
1991-12-29,108,-8.1,-11.1,-3.9
1991-12-30,108,-5.6,-10.6,-0.2
1991-12-31,108,-0.4,-3.7,4.1
1992-01-03,108,-1.9,-5,1.8
1992-01-04,108,-2.4,-6.4,2.3
1992-01-15,108,-1.3,-4.5,2.8
1992-01-16,108,-0.8,-2.4,1.6
1992-01-17,108,-4.4,-7.3,-2.4
1992-01-18,108,-5.7,-8.8,-2
1992-01-19,108,-5,-9.1,-0.6
1992-01-20,108,-3.4,-9,2.4
1992-01-21,108,-0.1,-4.2,5
1992-01-22,108,-0.4,-4.2,1.9
1992-01-23,108,-2.8,-6.2,1.4
1992-01-24,108,-0.8,-5.3,3.3
1992-01-31,108,-1.1,-4.1,2.1
1992-02-01,108,-0.9,-3.9,3.3
1992-02-02,108,-0.6,-3.1,1.3
1992-02-04,108,-1.7,-5,1.8
1992-02-05,108,-1.9,-7.1,3.8
1992-02-06,108,-2.1,-5,3.1
1992-02-07,108,-3.4,-7,1.2
1992-02-08,108,-3.7,-7.8,0.6
1992-02-09,108,-1.8,-7.1,3.8
1992-02-11,108,-1.9,-6.3,4.1
1992-02-12,108,-0.2,-3.2,2.9
1992-02-13,108,-1,-4.4,2.5
1992-02-16,108,-3.1,-6.2,0.4
1992-02-17,108,-2.3,-7,2.6
1992-02-19,108,-3.5,-6.5,0.2
1992-02-20,108,-1.7,-6.9,2.8
1992-02-21,108,-0.9,-4.6,2.5
1992-11-26,108,-5.7,-8.5,-2.4
1992-11-27,108,-3.7,-9,2
1992-12-11,108,-3,-6.4,0.2
1992-12-12,108,-0.4,-3.5,2.5
1992-12-14,108,-5,-8.2,-1.3
1992-12-15,108,-3.7,-8,0.3
1992-12-17,108,-0.2,-4.1,3.7
1992-12-18,108,-0.5,-4.2,4
1992-12-22,108,-1.2,-5.2,2.2
1992-12-23,108,-6.7,-9.7,-3.7
1992-12-24,108,-5.6,-8.2,-2
1992-12-25,108,-4.5,-9,0.8
1992-12-26,108,-0.4,-5.5,4.3
1992-12-31,108,-0.8,-3.7,2.6
1993-01-01,108,-0.3,-5,4.8
1993-01-04,108,-3.8,-7.9,0.9
1993-01-05,108,-2.3,-7.1,3
1993-01-06,108,-0.2,-3.2,3.3
1993-01-11,108,-2.9,-5.6,0.6
1993-01-12,108,-2.5,-7.1,2.8
1993-01-13,108,-0.7,-3.3,2.3
1993-01-14,108,-0.1,-1.9,1.6
1993-01-15,108,-2.9,-7.4,-0.2
1993-01-16,108,-5.2,-8.6,-1.5
1993-01-17,108,-4.1,-6.6,-1
1993-01-18,108,-7.5,-10,-4.6
1993-01-19,108,-7.9,-11.1,-4.2
1993-01-20,108,-7.6,-10.8,-3.4
1993-01-21,108,-5.9,-10.1,-1.3
1993-01-22,108,-3.3,-8.6,2.4
1993-01-23,108,-0.5,-3.5,3.7
1993-01-27,108,-5.3,-7.4,-3.2
1993-01-28,108,-6.5,-10.6,-2.2
1993-01-29,108,-4.3,-9,0.4
1993-01-30,108,-1,-6,3.9
1993-02-01,108,-1.9,-4.7,2.6
1993-02-02,108,-1.2,-6.3,5.4
1993-02-07,108,-1.4,-5.5,4.8
1993-02-08,108,-4.5,-8.3,-0.7
1993-02-09,108,-1.8,-5.6,2.2
1993-02-22,108,-1.6,-5.6,4.1
1993-02-23,108,-5.6,-7.9,-2.5
1993-02-24,108,-5,-8.6,-1.2
1993-02-25,108,-2.3,-6.8,3
1993-02-26,108,-0.6,-4.5,4.5
1993-02-28,108,-0.3,-3.5,1.9
1993-03-01,108,-3.4,-5.3,-1
1993-03-02,108,-0.7,-6.2,4.5
1993-11-21,108,-0.8,-5.4,2.6
1993-11-22,108,-2.3,-6.7,1.9
1993-11-23,108,-3.6,-7,-0.9
1993-11-24,108,-3.3,-9,1.9
1993-12-03,108,-1.1,-4.4,1.6
1993-12-04,108,-3.4,-6.5,0.5
1993-12-05,108,-1.4,-5.6,3
1993-12-14,108,-5.5,-8.9,-2.4
1993-12-15,108,-7.3,-11.2,-2.8
1993-12-16,108,-3.9,-8.4,1.2
1993-12-17,108,-7.2,-9.4,-4.4
1993-12-18,108,-1.8,-6.7,4.4
1993-12-21,108,-6.7,-9.7,-1
1993-12-22,108,-6.1,-9.7,-2.2
1993-12-23,108,-3.3,-7.4,1.2
1993-12-31,108,-1.5,-4.2,1.3
1994-01-01,108,-2.2,-6.8,2.5
1994-01-04,108,-1.2,-4.6,2.2
1994-01-07,108,-2.4,-6.8,2
1994-01-14,108,-2.4,-6,2.4
1994-01-18,108,-7.9,-11.4,-4
1994-01-19,108,-8.5,-12.3,-3.5
1994-01-20,108,-7,-10.4,-3.2
1994-01-21,108,-5.6,-9.8,-1.6
1994-01-22,108,-4,-6.6,-0.1
1994-01-23,108,-7,-9.5,-4.2
1994-01-24,108,-5.8,-11.4,-1.3
1994-01-27,108,-4.5,-8.7,0.8
1994-01-28,108,-1.9,-5.1,2.8
1994-01-29,108,-2.7,-5.4,1.3
1994-01-30,108,-2.9,-7.5,1.6
1994-02-02,108,-3.7,-7.6,0.4
1994-02-03,108,-1.2,-4.7,3.2
1994-02-04,108,-1.3,-3.9,2.7
1994-02-09,108,-5.7,-8.9,2.7
1994-02-10,108,-7.1,-10.8,-2.4
1994-02-11,108,-2.7,-6.6,1.5
1994-02-12,108,-0.1,-3.3,4.1
1994-02-13,108,-1.9,-6.2,3.4
1994-02-14,108,-0.3,-5.5,6
1994-02-22,108,-1.1,-3.6,1.8
1994-02-23,108,-0.9,-4.2,3.5
1994-03-01,108,-1.4,-5.5,4.4
1994-03-09,108,-0.5,-3.5,2.8
1994-03-10,108,-1.4,-5.4,3.2
1994-12-03,108,-4.5,-7.6,-0.6
1994-12-04,108,-2.9,-6.7,1
1994-12-05,108,-0.2,-3,2.6
1994-12-13,108,-1.5,-3.3,0.7
1994-12-14,108,-2.1,-5.5,-0.4
1994-12-15,108,-7.2,-10.3,-3.5
1994-12-16,108,-8.7,-12.6,-4.2
1994-12-17,108,-5.6,-8.7,-1.9
1994-12-18,108,-5,-7.8,-0.7
1994-12-19,108,-4.7,-9.3,-0.2
1994-12-20,108,-1.6,-5.3,1.6
1994-12-29,108,-0.4,-4.3,4
1994-12-31,108,-1,-4,1.3
1995-01-01,108,-2.8,-5.9,1.1
1995-01-02,108,-1.1,-5.9,3.6
1995-01-05,108,-2.2,-4.7,1.3
1995-01-06,108,-3.1,-6.4,0.3
1995-01-10,108,-5.4,-7.4,-1.8
1995-01-11,108,-5,-8.3,-1.3
1995-01-12,108,-3.2,-7.7,1.6
1995-01-13,108,-5.1,-7.4,-1.5
1995-01-14,108,-5.9,-9.4,-1.7
1995-01-15,108,-3.3,-8.1,1.9
1995-01-16,108,-0.4,-3.2,3.4
1995-01-17,108,-1.2,-4.5,3
1995-01-18,108,-1.3,-5.7,3
1995-01-19,108,-4.4,-8.1,-0.5
1995-01-20,108,-1.1,-4.9,3.6
1995-01-24,108,-2.5,-5.1,0.6
1995-01-25,108,-0.9,-5.3,3
1995-01-26,108,-4.6,-7.9,0.5
1995-01-27,108,-5,-9.5,1
1995-01-28,108,-5.9,-9.3,-2.2
1995-01-29,108,-6.2,-9,-3.2
1995-01-30,108,-7,-11.1,-2.3
1995-01-31,108,-4.4,-8.3,0.5
1995-02-01,108,-3.8,-7.9,1.4
1995-02-02,108,-2.3,-7.3,3.9
1995-02-03,108,-1.5,-5.2,3
1995-02-04,108,-2.1,-5.1,1.6
1995-02-05,108,-3,-7.7,1.7
1995-02-06,108,-1.5,-6.6,3.4
1995-02-14,108,-0.2,-3.8,4.2
1995-02-16,108,-1,-4.9,3.4
1995-12-04,108,-0.6,-3.2,3.1
1995-12-05,108,-3.7,-5.6,-1.2
1995-12-06,108,-2.9,-6.3,1.5
1995-12-07,108,-2,-5.6,1.9
1995-12-08,108,-2.5,-5.4,1.2
1995-12-09,108,-1.4,-5.4,4.1
1995-12-16,108,-1.1,-4.5,3.1
1995-12-17,108,-1.5,-4.4,1.9
1995-12-18,108,-1.4,-5.4,3.2
1995-12-21,108,-0.8,-3.5,3.2
1995-12-24,108,-4.7,-7.9,1.9
1995-12-25,108,-7.6,-10.1,-3.8
1995-12-26,108,-5.5,-9.9,-1.2
1995-12-27,108,-3,-8,2.3
1995-12-28,108,-0.1,-3.9,2.8
1995-12-29,108,-5.9,-8.7,-2.7
1995-12-30,108,-7,-10.3,-2.5
1995-12-31,108,-3.1,-7.3,1.8
1996-01-01,108,-3.2,-7.9,2.5
1996-01-03,108,-4.5,-8.5,5.5
1996-01-04,108,-5.4,-10.7,-0.1
1996-01-05,108,-0.1,-2.1,2
1996-01-08,108,-5.7,-9.4,1.8
1996-01-09,108,-6.5,-10.4,-1.6
1996-01-10,108,-4.3,-7.8,-0.2
1996-01-11,108,-3.1,-7.7,2.9
1996-01-16,108,-3.8,-7.4,0.6
1996-01-17,108,-4.9,-8.1,-1.3
1996-01-18,108,-3.9,-6.9,0.1
1996-01-19,108,-2.5,-6.3,1.7
1996-01-20,108,-0.8,-3.4,3.2
1996-01-21,108,-1,-4.1,2.9
1996-01-22,108,-0.8,-4.5,3.2
1996-01-23,108,-2.6,-5.6,0.2
1996-01-24,108,-4.3,-7.2,-0.4
1996-01-25,108,-6.1,-8.2,-2.6
1996-01-26,108,-5.6,-9.9,-0.3
1996-01-27,108,-1.9,-6,2.5
1996-01-29,108,-1.1,-4.9,3.2
1996-01-30,108,-6.2,-9.1,-3
1996-01-31,108,-7.8,-10.4,-2.3
1996-02-01,108,-8.7,-10.5,-4.7
1996-02-02,108,-9.5,-13.8,-4.7
1996-02-03,108,-5,-10.6,0.9
1996-02-04,108,-0.7,-3.8,2.7
1996-02-05,108,-6,-8.3,-0.1
1996-02-06,108,-6.6,-10.8,-2.1
1996-02-07,108,-4.4,-8.7,0
1996-02-08,108,-3.3,-6.8,1.3
1996-02-09,108,-5.9,-8.2,-2.5
1996-02-10,108,-4.6,-9,0.2
1996-02-11,108,-0.2,-5.3,4.4
1996-02-16,108,-2.3,-6.6,2.8
1996-02-17,108,-2,-6.2,3.2
1996-02-18,108,-2.1,-5.1,3.1
1996-02-19,108,-3.4,-7.1,1.5
1996-02-20,108,-4.1,-7.5,0.3
1996-02-21,108,-3.8,-7.3,1.1
1996-02-22,108,-2.1,-6.6,3.2
1996-02-27,108,-1.4,-4.9,3.4
1996-02-28,108,-0.2,-5.5,5.2
1996-11-28,108,-0.8,-5.8,4.5
1996-11-29,108,-0.1,-3.6,2.4
1996-11-30,108,-4.1,-8,0.8
1996-12-01,108,-7.7,-10.5,-4.2
1996-12-02,108,-4.1,-9,1.5
1996-12-03,108,-0.4,-5.3,5.4
1996-12-05,108,-1.2,-7,3.7
1996-12-06,108,-5.5,-9,-2.1
1996-12-07,108,-3.6,-6.9,-0.5
1996-12-18,108,-5.1,-7.5,-2.5
1996-12-19,108,-2.8,-5.5,1
1996-12-20,108,-0.9,-6.1,4.4
1996-12-23,108,-2.6,-6.3,2.2
1997-01-01,108,-1.2,-9.9,8
1997-01-02,108,-8.4,-11,-5.1
1997-01-03,108,-6.8,-9.9,-2.9
1997-01-04,108,-4.6,-10,1
1997-01-05,108,-2.2,-6.4,1.6
1997-01-06,108,-7,-8.2,-5
1997-01-07,108,-5.9,-8.7,-3.3
1997-01-08,108,-3.8,-7.6,0.7
1997-01-09,108,-2.1,-6.6,1.6
1997-01-10,108,-1.3,-5.1,3.3
1997-01-11,108,-0.9,-5,4.2
1997-01-14,108,-4.8,-7.3,3
1997-01-15,108,-4.8,-9.4,-0.7
1997-01-16,108,-1.3,-4.8,2.8
1997-01-18,108,-3.5,-5.8,-0.2
1997-01-19,108,-3.1,-8.9,2.2
1997-01-21,108,-9.7,-12.3,-3.9
1997-01-22,108,-8.4,-13.7,-3.2
1997-01-23,108,-4.9,-8,-1.3
1997-01-24,108,-6.3,-9.4,-1.3
1997-01-25,108,-3,-8.5,1.9
1997-01-28,108,-2.3,-5.7,2.2
1997-01-29,108,-3.9,-6.7,-0.2
1997-01-30,108,-3.6,-8,0.6
1997-01-31,108,-3.1,-4.9,-0.9
1997-02-01,108,-2.8,-6.5,2.8
1997-02-02,108,-3.1,-5.7,1.6
1997-02-03,108,-3.5,-8.1,1.7
1997-02-04,108,-1.5,-6.8,4.2
1997-02-06,108,-1.5,-3.6,0.9
1997-02-07,108,-1.3,-5,3.7
1997-02-11,108,-3,-6.3,1.8
1997-02-12,108,-2.9,-6.1,1.2
1997-02-13,108,-1.3,-6.2,4
1997-02-16,108,-4,-7.1,2
1997-02-17,108,-2.9,-6.9,1.7
1997-02-18,108,-2.2,-5,2.1
1997-02-21,108,-0.1,-3,3.4
1997-02-22,108,-0.1,-6.3,6.3
1997-11-18,108,-0.1,-3.2,3.6
1997-12-01,108,-1.1,-6.2,3.1
1997-12-02,108,-6.6,-9,-2.9
1997-12-03,108,-7,-11,-3.5
1997-12-04,108,-0.9,-6.8,5.2
1997-12-09,108,-4.5,-7.9,-1.6
1997-12-10,108,-7.4,-11.3,-3.8
1997-12-11,108,-4.6,-7.4,-2.4
1997-12-12,108,-3.5,-8.2,0.5
1997-12-13,108,-1.2,-5.4,3.1
1997-12-29,108,-0.6,-4.2,2.8
1998-01-04,108,-5.5,-8.3,4.5
1998-01-05,108,-1.3,-6.2,4
1998-01-06,108,-1.4,-4.5,1.5
1998-01-18,108,-7.1,-11.5,1
1998-01-19,108,-9.9,-13.8,-6.2
1998-01-20,108,-4.3,-8.1,0.4
1998-01-21,108,-5.4,-8.3,-2.1
1998-01-22,108,-2,-6.3,3.1
1998-01-23,108,-7.3,-11.7,-3.5
1998-01-24,108,-11.9,-15.4,-7.9
1998-01-25,108,-6.7,-12.7,-1.6
1998-01-26,108,-2.9,-5.5,0.3
1998-01-27,108,-3.6,-7.2,1.1
1998-01-28,108,-4.8,-7.6,-0.3
1998-01-29,108,-2.7,-8.6,2.9
1998-01-31,108,-1.5,-4.4,2.3
1998-02-01,108,-1.7,-5.5,3.4
1998-02-02,108,-0.3,-5.2,5.4
1998-02-04,108,-0.8,-4.1,4.3
1998-02-05,108,-0.3,-5.7,5.1
1998-02-08,108,-3.6,-5.9,-0.4
1998-02-09,108,-4.7,-7.6,-2
1998-02-10,108,-2.7,-7.7,2.1
1998-03-20,108,-0.6,-3.2,2.5
1998-11-18,108,-3,-5.3,0.7
1998-11-19,108,-1.5,-6.8,4
1998-11-20,108,-1.3,-4.8,2.1
1998-12-03,108,-0.3,-2.7,3.5
1998-12-08,108,-2.4,-4.8,0.6
1998-12-09,108,-3.1,-5.3,0
1998-12-10,108,-1.4,-8.1,3.9
1998-12-11,108,-1.4,-3.6,3.1
1998-12-12,108,-0.4,-6.2,4.8
1998-12-30,108,-3.8,-6.6,-1
1998-12-31,108,-2.7,-6,1.3
1999-01-01,108,-1.5,-6.9,3.5
1999-01-07,108,-6,-8.6,-0.5
1999-01-08,108,-9.1,-11,-5.6
1999-01-09,108,-9.3,-12.2,-5.4
1999-01-10,108,-6.7,-10.8,-2.3
1999-01-11,108,-6.3,-9.1,-2.1
1999-01-12,108,-5.6,-8.9,-1.5
1999-01-13,108,-3.6,-7.2,0.7
1999-01-14,108,-3.3,-5.7,-0.2
1999-01-15,108,-2.4,-6,1.5
1999-01-16,108,-1.7,-5.2,3.2
1999-01-17,108,-1,-5.3,3.8
1999-01-20,108,-2.6,-5.5,1.5
1999-01-21,108,-0.6,-7.1,4.6
1999-01-28,108,-2.3,-5.8,0.8
1999-01-29,108,-5.4,-8.9,-1.1
1999-01-30,108,-5.6,-10.5,-0.5
1999-01-31,108,-1.1,-6.3,3.3
1999-02-02,108,-3.7,-8.4,-0.2
1999-02-03,108,-8.1,-12.3,-3.2
1999-02-04,108,-4.6,-9.6,0.4
1999-02-05,108,-1.3,-5.8,3.7
1999-02-06,108,-0.2,-4.8,4.9
1999-02-12,108,-4.8,-7.1,-2.1
1999-02-13,108,-4.2,-8.3,0.7
1999-02-14,108,-1.9,-4.2,0.4
1999-02-19,108,-1.6,-4.6,2.2
1999-02-20,108,-2.5,-5,1.1
1999-02-21,108,-1.5,-6.2,3.9
1999-02-27,108,-1.8,-4.3,4.1
1999-03-22,108,-0.8,-6.2,4.1
1999-11-26,108,-3.6,-6.1,-0.3
1999-11-27,108,-0.6,-4.3,2.9
1999-11-28,108,-1.5,-3.6,1.4
1999-12-17,108,-3.8,-6.4,-0.8
1999-12-18,108,-5.8,-8.2,-1.9
1999-12-19,108,-7.1,-9.6,-3.8
1999-12-20,108,-8.5,-11.3,-5.2
1999-12-21,108,-7.2,-11.5,-2.9
1999-12-22,108,-4.8,-8.7,-0.5
1999-12-23,108,-2.1,-7.4,2
1999-12-25,108,-3,-4.9,-0.1
1999-12-26,108,-3.3,-8.1,1.8
